x1,x2,y
-10.0,-10.0,-20.48662664426275
-9.97997997997998,-9.97997997997998,-19.606320619500803
-9.95995995995996,-9.95995995995996,-20.1105741223226
-9.93993993993994,-9.93993993993994,-19.67500605951756
-9.91991991991992,-9.91991991991992,-20.147309158848696
-9.8998998998999,-9.8998998998999,-19.593471894860084
-9.87987987987988,-9.87987987987988,-19.609767084473134
-9.85985985985986,-9.85985985985986,-19.477716634316888
-9.83983983983984,-9.83983983983984,-19.267760610306162
-9.81981981981982,-9.81981981981982,-19.8341654064243
-9.7997997997998,-9.7997997997998,-19.177569920821078
-9.77977977977978,-9.77977977977978,-19.714583579715892
-9.75975975975976,-9.75975975975976,-19.3438037930884
-9.73973973973974,-9.73973973973974,-19.39314633592765
-9.71971971971972,-9.71971971971972,-19.793889270457463
-9.6996996996997,-9.6996996996997,-19.22254592288851
-9.67967967967968,-9.67967967967968,-19.14856836895686
-9.65965965965966,-9.65965965965966,-19.75613543286264
-9.63963963963964,-9.63963963963964,-19.561100531070622
-9.61961961961962,-9.61961961961962,-19.299695266589698
-9.5995995995996,-9.5995995995996,-19.203420289280558
-9.57957957957958,-9.57957957957958,-19.59468046565603
-9.55955955955956,-9.55955955955956,-19.465890425270356
-9.53953953953954,-9.53953953953954,-19.407775735811803
-9.51951951951952,-9.51951951951952,-18.971251572545757
-9.4994994994995,-9.4994994994995,-18.972139491666958
-9.47947947947948,-9.47947947947948,-18.924588004488193
-9.45945945945946,-9.45945945945946,-18.823566984893503
-9.43943943943944,-9.43943943943944,-19.03582656350819
-9.41941941941942,-9.41941941941942,-19.191426306285134
-9.3993993993994,-9.3993993993994,-19.10398326404185
-9.37937937937938,-9.37937937937938,-19.12819049219094
-9.35935935935936,-9.35935935935936,-18.23949096542002
-9.33933933933934,-9.33933933933934,-18.251093259144238
-9.31931931931932,-9.31931931931932,-18.785205247344457
-9.2992992992993,-9.2992992992993,-18.32224335928436
-9.27927927927928,-9.27927927927928,-18.682886630422356
-9.25925925925926,-9.25925925925926,-18.31925954427409
-9.23923923923924,-9.23923923923924,-18.62734885195759
-9.21921921921922,-9.21921921921922,-18.59345757598452
-9.1991991991992,-9.1991991991992,-18.333285793736376
-9.17917917917918,-9.17917917917918,-17.96439174435843
-9.15915915915916,-9.15915915915916,-18.724814085888937
-9.13913913913914,-9.13913913913914,-17.834634599670327
-9.11911911911912,-9.11911911911912,-17.781228320206385
-9.0990990990991,-9.0990990990991,-18.324063781564952
-9.07907907907908,-9.07907907907908,-17.675166530568244
-9.05905905905906,-9.05905905905906,-18.08492450976297
-9.03903903903904,-9.03903903903904,-17.857852020057663
-9.01901901901902,-9.01901901901902,-18.220798398989185
-8.998998998999,-8.998998998999,-17.55562503418884
-8.97897897897898,-8.97897897897898,-18.213808217558775
-8.95895895895896,-8.95895895895896,-18.08304050022196
-8.93893893893894,-8.93893893893894,-17.64762636141311
-8.91891891891892,-8.91891891891892,-17.433176445478352
-8.8988988988989,-8.8988988988989,-17.711304033852183
-8.87887887887888,-8.87887887887888,-17.978344139167305
-8.85885885885886,-8.85885885885886,-17.60695135459277
-8.83883883883884,-8.83883883883884,-18.085497580850582
-8.81881881881882,-8.81881881881882,-17.290285571744715
-8.7987987987988,-8.7987987987988,-17.562698982823136
-8.77877877877878,-8.77877877877878,-17.912821623823586
-8.75875875875876,-8.75875875875876,-17.04722523877978
-8.73873873873874,-8.73873873873874,-17.37679979065019
-8.71871871871872,-8.71871871871872,-17.04267129783896
-8.6986986986987,-8.6986986986987,-17.44887011282748
-8.67867867867868,-8.67867867867868,-17.42954641870494
-8.65865865865866,-8.65865865865866,-16.823135394092184
-8.63863863863864,-8.63863863863864,-17.487888621331535
-8.618618618618619,-8.618618618618619,-16.919752359413042
-8.598598598598599,-8.598598598598599,-17.50386077766648
-8.578578578578579,-8.578578578578579,-17.43770143047598
-8.558558558558559,-8.558558558558559,-16.69429339272925
-8.538538538538539,-8.538538538538539,-17.13306217541916
-8.518518518518519,-8.518518518518519,-17.04030006840239
