y_noise
"[ 8.45178702e-01  2.05133169e-01 -4.74454647e-01 -1.05706845e+00
 -5.34083718e-01  3.26291312e-01 -3.06155627e-01  2.10200715e-01
  1.33695716e-01  9.63476380e-01  3.43362752e-01  6.64496250e-01
 -4.37131760e-03  2.70481564e-01 -4.34600594e-01  4.27886468e-01
 -3.00024140e-02 -2.39700197e-01 -2.76219424e-01  6.63058227e-01
  1.55350329e+00  8.04444366e-01  8.24955135e-01  3.67424104e-01
 -1.91050516e-01 -4.82924920e-01 -2.46657413e-01 -9.51301177e-01
 -2.38666756e-01 -3.94615627e-01 -1.13318119e-01  2.89459568e-01
  4.65935739e-01  7.83580637e-01  5.82984418e-01  1.40925832e+00
  2.67443614e-01  4.92621651e-01 -5.61242004e-01  4.58243629e-01
  2.03102370e-01  1.22932334e+00  1.64620310e+00  1.04092236e+00
  4.33481323e-01  7.90933882e-01  4.00880914e-02 -4.19376107e-01
  1.52616849e+00  7.26201692e-01 -4.07680860e-01 -1.00698839e-01
 -6.96690177e-02  7.25746662e-01  3.31169605e-02  2.60528887e-01
  1.23465429e+00  1.26525024e+00  6.25161109e-01  5.64397680e-01
  8.81249378e-01  4.60152592e-01  5.39715605e-01  2.04534143e-02
 -4.06598018e-01 -7.17022855e-01 -4.67195285e-01 -5.40768026e-01
 -4.40699624e-01  5.52755097e-02 -9.75305077e-01  1.77972994e-01
  1.60535450e-01 -5.10392818e-01 -2.04759076e-01 -1.62885819e-01
 -7.44052309e-01  2.52330721e-01 -9.53129062e-02 -7.66096376e-01
 -1.07752223e+00 -8.89385422e-01 -6.73108274e-01 -5.88960791e-01
 -1.41935256e+00 -1.83430563e+00 -4.46023955e-01  4.27878364e-01
  8.02566128e-01 -4.42269463e-01 -3.69738270e-01  5.93355858e-01
  4.20754771e-01 -1.02374192e+00  8.45848699e-02  3.57147784e-01
  5.68094393e-01  4.94611798e-01 -6.49075450e-01 -1.78663111e+00
 -3.29756130e-01  3.41973275e-01 -7.20163217e-01 -3.71946408e-01
